Arara_do_Rio_Branco	Rio Branco Arara	**89423**, **138962**	There is only a short wordlist for which the majority of entries are not Tupí cognates. Cognates for these words have so far not been uncovered in other families.
Awake	Awaké	**152078**	
Nuclear_Trans_New_Guinea	Nuclear Trans New Guinea	**31301** **24522** **108875**	Includes Finisterre-Huon **304818**, **126205**, Irian Highlands (Dani and Paniai Lakes subgroups) **31301**, Madang **31301**, **87992**, Ok **31301**, Awyu-Dumut **31301**, Asmat-Kamoro **160174**, **152160**, Oksapmin together with Ok **9828**, Binanderean **87999** **312433**, Eastern Highlands **111622**, Mek **37015**, **34449**, probable members Engan **31301**, Chimbu **31301**. See also **120523**:97 and **21928**:146 **87992** for re-subgrouping of a few languages. The Bikaru-Bragge wordlist in **22758** presumably represents the Pikaru dialect of Bisorio (an Engan language) despite the divergence of the two, since the body part terms agree and the elicitation sessions were monolingual.
Omurano	Omurano	**41201**	
Kariri	Kariri	**73916**	Evidence for a Macro-Jê affiliation is still insufficient **73916**
Chinookan	Chinookan	**75074**	
Doso-Turumsa	Doso-Turumsa	**13373**, **61402**	Turumsa and Dibiyaso are said to share as much as 19\% lexicostatistical similarity **61402**, but, looking at the items in question and the sociolinguistic situation, a loan scenario is preferable to a genealogical one.
Gunwinyguan	Gunwinyguan	**132097**, **5516** **319123**:314-370	Incl.~Ngandi-Nunggubuyu, Anindilyakwa **319123**:314-370, Rembargic, Gunwinggic, Ngalkbun, Western Gunwinyguan (Jawoyn and Warray) but excluding Maningrida, Kunkarakany, Gaagudju, Mangarrayi, Wagiman and Yangmanic. The evidence for an Arnhem family is not sufficient.
Nambiquaran	Nambiquaran	**305706**	
Atlantic-Congo	Atlantic-Congo	**158466**	The core is held together by regular sound correspondences in lexical items between subfamily languages, less systematic verbal extensions and noun class systems **101318**, **79953**, **116842**, **158466**, **82736**, **12162**, **20691**, **36490**. Mande, Kordofanian, Ijoid and Dogon have not yet been shown to stand up to these criteria wherefore they are excluded. The Pre or Mbre language in Côte d'Ivoire, known from wordlists only, is Atlantic-Congo but cannot be assigned to a specific branch at this time **107427**, **45054**. The Mpra (= Mpre) language in Ghana has cognates with Atlantic-Congo especially Guang **117441**, including numerals 2-5, but the bulk of the little vocabulary that is known, is not Atlantic-Congo **322081**. On the grounds that the numerals are less likely to be borrowed, and that lexical innovation may produce vocabulary that looks unrelated to anything else, we count Mpra as an Atlantic-Congo language.
Basque	Basque	**103050**	
Bosavi	Bosavi	**13373**	
Alsea	Alsea	**75074**	
Kosare	Kosare	**74729**	The lexicon shows no convincing relationship to any of the surrounding languages (**74729**)
Timote-Cuica	Timote-Cuica	**41201**	
Kanoe	Kanoê (Kapixaná)	**20430**	
Yanomamic	Yanomamic	**8622**	
Western_Tasmanian	Western Tasmanian	**306230**	
Nakh-Daghestanian	Nakh-Daghestanian	**85149**	
Pyu	Pyu	**109325**	Laycock never presented evidence for a Kwomtari-Baibai-Pyu family **122228**.
Zaparoan	Zaparoan	**145139**, **318673**	
Kembra	Kembra	**18102**, **83861**	
Guriaso	Guriaso	**107948**	Laycock never presented real evidence for a Kwomtari-Baibai-Pyu family **122228**. It is clear from the data collected so far **107948** that Guriaso [grx] shares no more lexical cognates with Kwomtari and Biaka than expected at random, and that's not even when borrowing is discounted (Kwomtari neighbours Guriaso). Further correspondences presented are merely typological or random enough to make Japanese a Kwomtari language **107948**:29.
Wakashan	Wakashan	**149158**	
Bulaka_River	Bulaka River	**125387**	Wurm's arguments **125387**:324 for a Trans-Fly assignment were based on low (ca 9\%) lexicostatistical figures and typological characteristics.
Hattic	Hattic	**29920**	
Yale	Yalë (Nagatman)	**31052**	
Tambora	Tambora	**48961**	
Giimbiyu	Giimbiyu	**132097**	Mangeri and Uningangk are dialects of the same language **104191**:372.
Salinan	Salinan	**75074**	
Athapaskan-Eyak-Tlingit	Athapaskan-Eyak-Tlingit	**23502**, **71369**	Interesting well-analysed parallels between Haida, Eyak-Athapaskan and Tlingit have surfaced recently **8392** but do not fit sound correspondences with AET **71369** and is not enough to conclude a genetic relationship. Similarly, the links to Yeniseic **159689** is not yet mature enough to conclude a genetic relationship **31225**, **323413**.
Charruan	Charrúan	**320602**	
Ijoid	Ijoid	**25151**, **17922**	Ijoid has not yet been shown to contain systematic sound correspondences, noun class systems or verbal extensions with Niger-Congo in some form.
Piawi	Piawi	**32655**, **137619**	
Totonacan	Totonacan	**75074**, **148548**	
Chimariko	Chimariko	**121997**	
Austronesian	Austronesian	**14294**	Tantalizing, but insufficient, parallels with Jarawa-Onge can be found in **83264**. Makuva [lva] of East Timor is also Austronesian **12716**. Utupua, Vanikoro and Reef-Santa Cruz have been shown to be bona fide Oceanic **139210**, **70983**, **129676**. The arguments that Warembori, along with Yoke, is Austronesian are in fact convincing **148303**. Also, the best take on the poorly attested Kazukuru language(s) is that they were New Georgia Austronesian **61216**.
Lepki-Murkim	Lepki-Murkim	**83861**	Though not fortcoming from the lexicostatistical counts in **71468**, looking the actual words in the two languages, there are too many similarities to be mere chance (contra **83861**).
Manubaran	Manubaran	**157557**	Evidence for Trans New Guinea membership **157557**:624-631 **75576** or with other neighbouring families **157557**:624-631 is clearly insufficient, as the lexical links so far proposed are few and show irregular one-consonant correspondences.
Walio	Walio	**30504**, **109325**, **22758**	Typological arguments are not sufficient to conclude a Leonard Schultze family with Papi **30504**. The lexical evidence does not show any conclusive genetic relationship either, be it inside or outside Leonard Schultze **109325**, **22758**.
Arawakan	Arawakan	**108220**	Saraveca, Paiconeca, Aguachile are all bona fide Arawak despite doubts raised by **144652**:87-173. Magiana  **104642** is clearly an Arawakan language of the Bolivia-Paraná group different from all known languages of that group cf.~**46214**:249.
Taushiro	Taushiro	**41201**	
Puelche	Puelche	**158704**, **103705**, **28684**	The parallels with Chon or Chon-Querandí are interesting but not conclusive.
Dagan	Dagan	**157557**	Evidence for Trans New Guinea membership **157557**:624-631 **75576** or with other neighbouring families **157557**:624-631 is clearly insufficient, as the lexical links so far proposed are few and show irregular one-consonant correspondences.
Kxa	Kx'a	**17198** **400000**	
Yeniseian	Yeniseian	**59736**	The link to Eyak-Athapascan-Tlingit **159689** is not yet mature enough to conclude a genetic relationship **31225** **323413**.
Pahoturi	Pahoturi	**125387**	Wurm's arguments **125387**:327-335 appear to be unreliable lexicostatics and typological features.
Amto-Musan	Amto-Musan	**31052**	
Chono	Chono	**41201**:552-558 **28684**	There are lexical parallels with Mapuche as well as Qawesqar **162290**:82 but the core is clearly unrelated.
Inland_Gulf_of_Papua	Inland Gulf of Papua	**303435**:269-273	Internally, the membership of the geographically non-adjacent Ipikoi in the family was realised only in the early 1970s (**303435**):267-273. Evidence for a Trans New Guinea membership are the singular pronouns in the Minanibai branch and a few lexical items (**9720**):509-510 and **21928(**):152, 157 takes the pronoun evidence to be probative. However, the pronouns which look most like Trans New Guinea have not yet been shown to go back to proto-Inland Gulf, and even if we assume they are characteristic, the total of the evidence for a Trans New Guinea affiliation is very slight. Therefore, it would be premature to call Inland Gulf a branch of the Trans New Guinea family. No stronger cases for Inland Gulf affiliations to other (sub-)families have been put forward.
Sandawe	Sandawe	**154537**	
Minkin	Minkin	**43411**	Despite **43411**, the lexical evidence for a relation to Tangkic shows no regular correspondences, and the case does not improve when considering proto-Tangkic rather than the modern Tangkic languages (p.c.~Erich Round 2013).
Waikuri	Waikuri	**89092**	
Cayuvava	Cayuvava	**92879**	
Adai	Adai	**35423**	
Great_Andamanese	Great Andamanese	**143825**	
Shabo	Shabo	**83285**, **117321**, **106708**	
Austroasiatic	Austroasiatic	**128691**, **142046**	
Guahiboan	Guahiboan	**41201**	
Harakmbut	Harakmbut	**41201**	There are promising lexical links with Katukina **19783**, with a fair amount of near-identical forms, but the systems of pronouns, numerals or bound morphology show no cognation.
Turkic	Turkic	**130587**	
Kenaboi	Kenaboi	**86940**	The arguments for considering Kenaboi a taboo-jargon are not compelling **86940**, **150947**. Although potential cognates can be found for a fraction of the Kenaboi forms **150947**, they are widely scattered and without systematicity. The simplest explanation is then that Kenaboi is an isolated language and that the similarities to remote branches of Austronesian and Austroasiatic are chance resemblances.
Etrusco-Rhaetian	Etrusco-Rhaetian	**20586**, **134469**	
Waorani	Waorani	**41201**	
Nubian	Nubian	**112649**	No conclusive, methodologically sound basis for assigning Nubian to Eastern Sudanic **145233** or to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Goilalan	Goilalan	**24669**	Evidence for Trans New Guinea membership **157557**:624-631 **75576** or with other neighbouring families **157557**:624-631 is clearly insufficient, as the lexical links so far proposed are few and show irregular one-consonant correspondences.
Eleman	Eleman	**307505**	
Klamath-Modoc	Klamath-Modoc	**75074**	There are interesting parallels to Wintuan and the rest of Plateau Penutian (= Sahaptian and Molala) **106965**.
Mongolic	Mongolic	**154969**	See **133723** for the latest critique of Altaic.
Katukinan	Katukinan	**97882**	There are promising lexical links with Harakmbut **19783**, with a fair amount of near-identical forms, but the systems of pronouns, numerals or bound morphology show no cognation.
Nihali	Nihali	**128691**:242-253 **138698**	
Yeli_Dnye	Yélî Dnye	**15493**	
Uto-Aztecan	Uto-Aztecan	**75074** **114836**	
Elamite	Elamite	**64036**	
Siouan	Siouan	**75074**	
Koiarian	Koiarian	**33063**	Evidence for Trans New Guinea membership **9720**:624-631 **75576** or with other neighbouring families **9720**:624-631 is clearly insufficient, as the lexical links so far proposed are few and show irregular one-consonant correspondences.
Tuu	Tuu	**400000**	
Kapauri	Kapauri	**110459**, **83861**	However, a newer evaluation of the lexical relationships (claimed in **126692**:45) show no signficant relationship between the Kaure-Narau-Kosare languages and Kapauri (**110459**):13.
Molala	Molala	**118299**	There are interesting parallels to Wintuan and the rest of Plateau Penutian (= Sahaptian and Klamath-Modoc) **106965**.
Furan	Furan	**124847**	No conclusive, methodologically sound basis for assigning Furan to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Central_Sudanic	Central Sudanic	**101036**, **118243**, **135789**, **85844**	No conclusive, methodologically sound basis for assigning Central Sudanic to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**. Birri and the Kresh-Aja group have not yet been shown to be bona fide Central Sudanic **101036**.
Fulnio	Fulniô	**97882**	
Limilngan	Limilngan	**300875**	
Uhunduni	Uhunduni	**94763**	The cognation judgments involving Damal in **94763** are overly optimistic in that a match is judged if at least one segment matches. This procedure yields inconsistent sound correspondences. The lexicostatistic argument for relatedness is the only one offered so far, and apart from probable borrowings, we cannot find any cognates in vocabulary or morphology.
Kiowa-Tanoan	Kiowa-Tanoan	**322751**	
Taruma	Taruma	**102866**:150	
Banaro	Banaro	**37308**:163-165 **314585**	Banaro [byz] shows some typological similarities to the Grass, Ap Ma and Ramu languages but there is little lexical evidence **37308**:163-165 **314585**.
Jicaquean	Jicaquean	**75074**	
Chibchan	Chibchan	**152721**, **105296**	Incl.~Cuna, Chimila, Languages of Sierra Nevada de Santa Maria, Muisca, Tunebo.
Payagua	Payaguá	**135821**	The best case for Payaguá relatedness is with Guaycurú and/or Guachi **135821** but the parallels are still insufficient.
Marrku-Wurrugu	Marrku-Wurrugu	**127291**, **78115**	The evidence for including Marrku in Iwaidjan is not sufficient as the similarities may well be due to borrowing **127291**. The very poorly attested Wurrugu has lexical correspondences with Marrku rather than the rest of Iwaidjan **78115**.
Sechuran	Sechuran	**77389**	There are occasional lexical links to the Tallán language(s) **41201**:398-400, but the very limited data available is not compelling towards a genetic relationship.
South_Omotic	South Omotic	**28966**, **64510**, **96074**	(South) Omotic does not show diagnostic Afro-Asiatic features **50165**, **64510**, **72248**, **25921**, **302560**, and is therefore excluded until such features can be shown. The Mao languages (Hozo, Seze, Bambeshi and Ganza) have not yet been shown to be (North or South) Omotic in morphology and/or core vocabulary, though there are some resemblances with North Omotic **63416**, **117822**, **64510**, **149199**, **302560**. The evidence for the coherence of North and South Omotic (= Ari-Banna) **151205**, **111659**, **62662**, **117239** is not sufficient **111658**, **28966**, **68358**, **302560**.
Taiap	Taiap	**96464**:61ff	Laycock's assignment to Sepik-Ramu was for mainly typological reasons **30504**:757 and cannot be said to constitute sufficient evidence for an affiliation to any Sepik-Ramu (sub-)family.
Xincan	Xincan	**75074** **143265**:49-53	
Kwalean	Kwalean	**157557**	Evidence for Trans New Guinea membership **157557**:624-631 **75576** or with other neighbouring families **157557**:624-631 is clearly insufficient, as the lexical links so far proposed are few and show irregular one-consonant correspondences.
Tiwi	Tiwi	**74459**	
Moseten-Chimane	Mosetén-Chimane	**90693**	
Cochimi-Yuman	Cochimi-Yuman	**75074**	
Yerakai	Yerakai	**109325**:14 **28589**	Yerakai shares no significant lexical relations with any Sepik language **109325**:14, except Ndu **108516**:23, but these are arguably loans from the adjacent Iatmul (as of intermarriage) **109325**:14 **28589**. No other argument for a Sepik affiliation in offered **30504**:738 and Yerakai is not mentioned in Foley's re-consideration of the Sepik family **161751**.
Tarascan	Tarascan	**75074**	
Japonic	Japonic	**90158** **318634**	See **133723** for the latest critique of Altaic.
Umbugarla	Umbugarla	**5516**	Dixon's suggestion **140578** received a shattering review by Evans **5516**. It has been suggested that Ngurmbur and Bugurnidja were dialects of, or related to, Umbugarla **24283**:14 but no data for these are actually attested (p.c.~Nicholas Evans and Mark Harvey 2013).
Kwomtari-Nai	Kwomtari-Nai	**107948**	Laycock never presented real evidence for a Kwomtari-Baibai-Pyu family **122228**. The membership is Kwomtari [kwo], Biaka/Nai [bio] and not Fas [fqs] as many sources have erroneously repeated. It is clear from the data collected so far **107948** that Guriaso [grx] shares no more lexical cognates with Kwomtari and Biaka than expected at random, and that's not even when borrowing is discounted (Kwomtari neighbours Guriaso). Further correspondences presented are merely typological or random enough to make Japanese a Kwomtari language **107948**:29.
Nara	Nara	**160138**	No conclusive, methodologically sound basis for assigning Nara to Eastern Sudanic **145233** or to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**. More recent more narrow parallels are suggestive but not enough to be conclusive **26179**.
Oti	Oti	**306521**:263-264	
Marindic	Marindic	**31301**	Not including Inanwatan, though typological affinities have been noted **44274**
Sause	Sause	**83861**	
Nivkh	Nivkh	**316393**	Parallels to Chukotko-Kamchatkan are insufficient to conclude a genealogical relationship **316393**
Ta-Ne-Omotic	Ta-Ne-Omotic	**316000**	(North) Omotic does not show diagnostic Afro-Asiatic features **50165**, **64510**, **72248**, **25921**, **302560**, **316000**, and is therefore excluded until such features can be shown. The Mao languages (Hozo, Seze, Bambeshi and Ganza) have not yet been shown to be (North or South) Omotic in morphology and/or core vocabulary, though there are some resemblances with North Omotic **63416**, **117822**, **64510**, **149199**, **302560**. The evidence for the coherence of North and South Omotic (= Ari-Banna) **151205**, **111659**, **62662**, **117239** is not sufficient **111658**, **28966**, **68358**, **302560**, **316000**. The resemablances between Dizoid and Ta-Ne-Omotic languages (especially Bench) are best explained as loans **316000**:373-374.
Chiquitano	Chiquitano	**146965**	
Larrakiyan	Larrakiyan	**132097**, **5516**	
Shastan	Shastan	**114836**	
Kiwaian	Kiwaian	**24669**	
Lower_Sepik-Ramu	Lower Sepik-Ramu	**161751**	Ap Ma [kbx] shows some typological similarities to the Grass and Ramu languages but there is little lexical evidence **37308**:168-169 **314585**. Banaro [byz] shows some typological similarities to the Grass and Ramu languages but there is little lexical evidence **37308**:163-165 **314585**.
Tupian	Tupían	**86124**, **53545**, **39115**, **133109**, **19069**, **143778**, **88539**, **160435**, **64613**	There is parallel in relational prefix with Carib and (Macro-Je) which is suggestive but not conclusive **75120**
Keresan	Keresan	**75074**	
Konda-Yahadian	Konda-Yahadian	**24826** **300404**:437-446	Evidence for inclusion in Trans New Guinea is weak **300404**:437-446, especially lexically. The same can be said for a relation with South Bird's Head, Konda-Yahadian and any West Papuan affiliation **24826**.
Afro-Asiatic	Afro-Asiatic	**136373**, **53890**, **109824**, **99157**	Omotic (be it South Omotic, North Omotic, Dizoid, or Mao) does not show diagnostic Afro-Asiatic features **50165**, **78397**, **13404**, **64510**, **72248**, **25921**, **302560**, **316000**, and is therefore excluded until such features can be shown.
Wintuan	Wintuan	**75074**	There are interesting parallels to Plateau Penutian (= Klamath-Modoc, Sahaptian and Molala) **106965**.
Chocoan	Chocoan	**65854**	
Koam	Koam	**161751**, **108516**	The three languages are closely related (hinted at by Laycock, and confirmable in the unpublished wordlists). What little data on Mongol-Langam-Yaul that was available to Foley in connection with his demonstration of the Lower Sepik-Ramu family, it was not sufficient for a genetic relationship with Lower Sepik-Ramu. Sufficient argumentation for a relation with the Yuat languages is wanting **108516**.
Jarawa-Onge	Jarawa-Onge	**143825**	Tantalizing, but insufficient, parallels with Austronesian can be found in **83264**.
Tinigua	Tinigua	**41201**	
Jarrakan	Jarrakan	**67235**, **70404**	
Blue_Nile_Mao	Blue Nile Mao	**64510**, **63416**, **87934**	The Mao languages (Hozo, Seze, Ganza, and Bambeshi) have not yet been shown to be Omotic in morphology and/or core vocabulary, though there are some resemblances with North Omotic.
Chitimacha	Chitimacha	**75074**	
Lengua-Mascoy	Lengua-Mascoy	**304533**	
Kunama	Kunama	**55658**	No conclusive, methodologically sound basis for assigning Kunama to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Pama-Nyungan	Pama-Nyungan	**123222**, **11337**, **326031**	Incl.~the Western Torres Strait language **11337**
Warao	Warao	**83748**	
Pauwasi	Pauwasi	**141825**	Karkar-Yuri is an Eastern Pauwasi language as is evident by inspection of wordlists. Occasional Pauwasi lexical items and pronoun forms show TNG likeness **59901**:155-156, **300404**:418-419, but are not sufficient to conclude a relationship.
Botin	Botin	**37308**:168-169 **314585**	Ap Ma/Botin/Kambot shows some typological similarities to the Grass, Banaro and Ramu languages but there is little lexical evidence **37308**:168-169 **314585**.
Pawaia	Pawaia	**150905**	Despite vocabulary cognacy of 5\% or so, Pawaia was included in Trans-New-Guinea because of pronoun resemblances to Kuman and on typological  similarities. The typological similarities involve function only **150905**, and thus count for nothing. The pronoun resemblances do not generalize to the Chimbu family **24669**:69-71 and match only an \emph{n} anyway, so they are better accounted for as accidental similarities than deep relationship.
Kwaza	Kwazá	**20430**	
Guachi	Guachi	**135821** **144652**:196-205	The best case for Guachi relatedness is with Guaycurú **135821** but the parallels are still insufficient.
Porome	Porome	**127098**	The suggestion of a Kiwai affiliation is based on pronouns only **10496**.
Narrow_Talodi	Narrow Talodi	**50750**	Narrow Talodi (exluding Tegem) is held together by pronouns, lexical cognates, and form-meaning resemblances in the noun class systems. Tegem systematically stands out lexically, pronominally, in the noun class system and alleged sound correspondences are often irregular. The alleged noun class form/meaning correspondences to other Kordofanian groups, namely Rashad and Heiban, in **13873**, **103725** are not convincing as conclusively genetic; As to form, there is much eclectic selection as well as irregular correspondences, and as to meaning, the methodology of finding non-cognate shared class items is highly dubious. Chance resemblance has not been excluded. The lexical evidence for a Kordofanian unity is weak in the extreme **138062**. It follows that the arguments presented for a Niger-Congo affiliation are not compelling either.
Ata	Ata	**66954**	Pronoun resemblances **148196** are not enough for concluding a Yele-West New Britain Family.
Miwok-Costanoan	Miwok-Costanoan	**322131**	
Inanwatan	Inanwatan	**44274**, **24826**	
Timor-Alor-Pantar	Timor-Alor-Pantar	**319886**, **322112**	The lexical and pronominal evidence for a Trans New Guinea affiliation is much too weak **90372**:683, **100260**, cf.~**108875**:94-95. The newest comparison of cognates **91131**:6-11 cannot muster a strong case (correspondences are few, weak and not systematic enough). Likewise, the Bomberai/Alor comparisons in **85492** are flimsy.
Atacameno	Kunza	**41201**	
Trumai	Trumai	**19064**	
Movima	Movima	**106143**	
Kimki	Kimki	**314585**, **83861**	Evidence for a Sepik affiliation is too scant, though data is very scant too. No convincing lexical relationship with Yetfa-Biksi **128721**.
Senagi	Senagi	**112103**	
Kamsa	Kamsá	**160791**	
Cofan	Cofán	**41201**	
Puquina	Puquina	**305658**	
Culli	Culli	**41201**	
Surmic	Surmic	**79010**	No conclusive, methodologically sound basis for assigning Surmic to Eastern Sudanic **145233** or to an alleged full or partial Nilo-Saharan has been presented **25272**, **28737**, **300290**.
Chonan	Chonan	**15285** **41201**:556-558 **28684**	Tehuelche, Teushen, Selknam, Haush, Querandi.
Sko	Sko	**149074**	
Mor	Mor	**300404**	Evidence for inclusion in Trans New Guinea is weak **300404**:431, both lexically and pronominally.
Duna	Duna	**300404**:395-396	Arguments for the relatedness for Duna and Bogaya are given in **300404**:395-396 but pronouns do not match sufficiently well for an immediate Trans New Guinea affiliation, and apart from this, there are only capricious lexical similarities to other families **152360**.
